Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
101.39,27.92,3.9,2016-12-25 07:26:06,1482621966,12,四川凉山州木里县
103.36,27.07,4.9,2017-02-08 19:11:38,1486552298,19,云南昭通市鲁甸县
103.4,27.09,4.5,2017-03-12 20:21:17,1489321277,23,云南昭通市鲁甸县
103.36,27.11,3.6,2017-03-30 07:48:17,1490831297,26,云南昭通市鲁甸县
101.42,27.93,4.4,2017-09-12 19:26:40,1505215600,50,四川凉山州木里县
101.32,27.95,3.5,2018-02-06 15:03:23,1517900603,71,四川凉山州木里县
103.47,28.12,3.8,2018-05-08 23:11:32,1525792292,84,云南昭通市永善县
102.28,29.19,4.3,2018-05-16 16:46:11,1526460371,85,四川雅安市石棉县
102.27,29.18,4.3,2018-05-16 16:46:40,1526460400,85,四川雅安市石棉县
101.35,27.93,3.7,2018-08-04 22:56:43,1533394603,96,四川凉山州木里县
103.31,28.63,3.8,2018-08-11 14:11:30,1533967890,97,四川乐山市马边县
101.39,27.92,3.7,2018-08-29 04:46:42,1535489202,100,四川凉山州木里县
102.08,27.7,5.1,2018-10-31 16:29:55,1540974595,109,四川凉山州西昌市
102.38,29.04,3.6,2019-02-08 18:00:45,1549620045,123,四川雅安市石棉县
103.53,28.07,4.7,2019-05-16 04:33:31,1557952411,137,云南昭通市永善县
102.23,28.26,3.5,2019-09-21 00:33:09,1568997189,155,四川凉山州冕宁县
102.35,29.07,3.6,2019-10-31 16:03:34,1572509014,161,四川雅安市石棉县
103.51,28.09,3.9,2020-02-28 07:56:17,1582847777,178,云南昭通市永善县
103.05,27.1,3.6,2020-03-18 16:43:41,1584521021,181,云南昭通市巧家县
103.16,27.18,5.0,2020-05-18 21:47:59,1589809679,190,云南昭通市巧家县
103.16,27.18,3.5,2020-05-19 04:35:53,1589834153,190,云南昭通市巧家县
103.08,27.12,3.8,2020-09-08 13:30:13,1599543013,206,云南昭通市巧家县
